Ticker,Date,MarketOpen,High,Low,MarketClose,Adj Close,Volume,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,rolling_mean_7,rolling_std_7
TataMotors,12-08-2014,475.8955383,476.8849182,463.4292603,468.9698181,465.8857727,14887582,438.9056702,425.4893799,434.4335632,439.8885498,448.9802246,438.9548035,432.4678345,441.7911377,12.72861718
TataMotors,13-08-2014,471.9874573,474.7577515,461.153656,468.4751282,465.3943176,6299304,465.8857727,438.9056702,425.4893799,434.4335632,439.8885498,448.9802246,438.9548035,445.5682111,15.39105528
TataMotors,14-08-2014,469.3161011,480.6940613,468.6235352,479.4573364,476.3043213,6417376,465.3943176,465.8857727,438.9056702,425.4893799,434.4335632,439.8885498,448.9802246,449.4716535,19.35508585
TataMotors,18-08-2014,483.8601074,500.2839661,483.7117004,498.4535828,495.1756592,8656402,476.3043213,465.3943176,465.8857727,438.9056702,425.4893799,434.4335632,439.8885498,457.369812,25.19282303
TataMotors,19-08-2014,502.1143188,515.1742554,500.1850281,513.3438721,509.9679871,9965688,495.1756592,476.3043213,465.3943176,465.8857727,438.9056702,425.4893799,434.4335632,468.160444,29.53388544
TataMotors,20-08-2014,513.4923096,516.4604492,505.478241,506.8139038,503.4809875,5467442,509.9679871,495.1756592,476.3043213,465.3943176,465.8857727,438.9056702,425.4893799,479.3021022,25.13718223
TataMotors,21-08-2014,510.5241089,512.6513062,500.778656,507.3085938,503.9724121,5463932,503.4809875,509.9679871,495.1756592,476.3043213,465.3943176,465.8857727,438.9056702,488.5973511,18.98775259
TataMotors,22-08-2014,509.782074,515.1247559,505.181427,506.1213379,502.7929688,4404241,503.9724121,503.4809875,509.9679871,495.1756592,476.3043213,465.3943176,465.8857727,493.8698077,16.60480187
TataMotors,25-08-2014,511.5135193,512.5028687,499.9871521,503.0047607,499.6968994,4005516,502.7929688,503.9724121,503.4809875,509.9679871,495.1756592,476.3043213,465.3943176,498.7701765,10.87292383
TataMotors,26-08-2014,493.2098389,509.732605,491.0826416,507.2096558,503.8741455,4724406,499.6968994,502.7929688,503.9724121,503.4809875,509.9679871,495.1756592,476.3043213,502.7087228,4.510610753
TataMotors,27-08-2014,513.3933716,518.439209,510.7219849,516.1636353,512.769165,3905433,503.8741455,499.6968994,502.7929688,503.9724121,503.4809875,509.9679871,495.1756592,505.2220808,4.515165714
TataMotors,28-08-2014,518.142395,526.0080566,517.1035767,519.4780884,516.0618896,5597525,512.769165,503.8741455,499.6968994,502.7929688,503.9724121,503.4809875,509.9679871,506.0926383,5.94408762
TataMotors,01-09-2014,520.4179688,523.8808594,511.2661438,514.4816895,511.0983887,6321716,516.0618896,512.769165,503.8741455,499.6968994,502.7929688,503.9724121,503.4809875,507.1808384,6.081949057
TataMotors,02-09-2014,514.4816895,515.2236938,506.6160278,510.7714539,507.4125061,4700852,511.0983887,516.0618896,512.769165,503.8741455,499.6968994,502.7929688,503.9724121,507.6722804,5.916216269
TataMotors,03-09-2014,520.5169067,524.8702393,515.7678833,517.0540771,513.6538086,7395355,507.4125061,511.0983887,516.0618896,512.769165,503.8741455,499.6968994,502.7929688,509.223829,5.847072853
TataMotors,04-09-2014,517.1530151,517.1530151,503.8457642,507.5559692,504.2181702,7887159,513.6538086,507.4125061,511.0983887,516.0618896,512.769165,503.8741455,499.6968994,509.8697248,4.76975766
TataMotors,05-09-2014,507.5559692,511.1177368,497.8104858,500.630249,497.3379822,10061738,504.2181702,513.6538086,507.4125061,511.0983887,516.0618896,512.769165,503.8741455,508.9359872,6.474283353
TataMotors,08-09-2014,502.6090088,506.5665588,497.5631409,504.6867371,501.3677979,9265718,497.3379822,504.2181702,513.6538086,507.4125061,511.0983887,516.0618896,512.769165,507.3072205,6.776333074
TataMotors,09-09-2014,505.6761169,512.8986206,502.2132568,511.6619263,508.2971191,9134923,501.3677979,497.3379822,504.2181702,513.6538086,507.4125061,511.0983887,516.0618896,506.1979675,5.645569235
TataMotors,10-09-2014,508.3474731,515.4215698,506.9623108,511.0682678,507.7073669,7315474,508.2971191,501.3677979,497.3379822,504.2181702,513.6538086,507.4125061,511.0983887,505.7135359,5.289236757
TataMotors,11-09-2014,512.5028687,512.7996826,505.577179,508.8916321,505.5450134,3994427,507.7073669,508.2971191,501.3677979,497.3379822,504.2181702,513.6538086,507.4125061,505.4467512,5.236090054
TataMotors,12-09-2014,509.534729,513.838562,507.9517212,511.7113953,508.3462524,4645545,505.5450134,507.7073669,508.2971191,501.3677979,497.3379822,504.2181702,513.6538086,504.6885289,4.113531392
TataMotors,15-09-2014,506.5665588,509.930481,504.7362061,506.9623108,503.628418,3002542,508.3462524,505.5450134,507.7073669,508.2971191,501.3677979,497.3379822,504.2181702,504.6042786,4.130773819
TataMotors,16-09-2014,504.5877991,505.329834,489.4006958,494.4465637,491.1950073,5795527,503.628418,508.3462524,505.5450134,507.7073669,508.2971191,501.3677979,497.3379822,503.7267107,6.110078681
TataMotors,17-09-2014,496.672699,504.0931091,486.1851807,501.5701599,498.2717285,5000801,491.1950073,503.628418,508.3462524,505.5450134,507.7073669,508.2971191,501.3677979,503.2844151,6.413804799
TataMotors,18-09-2014,500.3334351,521.2095337,495.3864746,519.8243408,516.4058838,7126911,498.2717285,491.1950073,503.628418,508.3462524,505.5450134,507.7073669,508.2971191,504.4428101,8.004935338
TataMotors,19-09-2014,519.6264648,523.3861694,511.0682678,513.3933716,510.0171814,5187142,516.4058838,498.2717285,491.1950073,503.628418,508.3462524,505.5450134,507.7073669,504.7727836,8.206989351
TataMotors,22-09-2014,509.534729,536.7429199,508.5453491,534.3189087,530.8051147,7973384,510.0171814,516.4058838,498.2717285,491.1950073,503.628418,508.3462524,505.5450134,508.3813695,12.84562655
TataMotors,23-09-2014,535.951355,536.8418579,510.6230469,512.3049927,508.9359741,7528891,530.8051147,510.0171814,516.4058838,498.2717285,491.1950073,503.628418,508.3462524,508.4656154,12.84729154
TataMotors,24-09-2014,510.5241089,512.2555542,501.174408,507.9517212,504.6113281,3887411,508.9359741,530.8051147,510.0171814,516.4058838,498.2717285,491.1950073,503.628418,508.6060311,12.79085894
TataMotors,25-09-2014,507.2591248,509.287384,494.6939087,498.9977417,495.7161865,6390237,504.6113281,508.9359741,530.8051147,510.0171814,516.4058838,498.2717285,491.1950073,509.2519139,11.84427166
TataMotors,26-09-2014,496.771637,507.6054382,487.1250916,505.6761169,502.3506775,7252440,495.7161865,504.6113281,508.9359741,530.8051147,510.0171814,516.4058838,498.2717285,509.8346209,11.30196434
