Ticker,Date,MarketOpen,High,Low,MarketClose,Adj Close,Volume,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,rolling_mean_7,rolling_std_7
TataMotors,2014-07-15,453.3869629,459.9664001,451.8534241,457.9876099,454.975769,3609319,448.1939087,438.3159485,445.3927002,449.4224854,459.9884644,468.6499939,459.4502258,452.1341814428571,10.015043829685245
TataMotors,2014-07-16,461.252594,466.5953064,457.196106,465.309082,462.2490845,3592346,454.975769,448.1939087,438.3159485,445.3927002,449.4224854,459.9884644,468.6499939,451.2197658142858,8.421131442256343
TataMotors,2014-07-17,462.0441284,472.2842712,460.2137451,470.2560425,467.1635437,5114632,462.2490845,454.975769,448.1939087,438.3159485,445.3927002,449.4224854,459.9884644,452.2447771428571,9.96202932323978
TataMotors,2014-07-18,466.7931824,472.4326782,461.401001,470.2560425,467.1635437,4148084,467.1635437,462.2490845,454.975769,448.1939087,438.3159485,445.3927002,449.4224854,454.7792140428572,11.29227495183239
TataMotors,2014-07-21,471.1959534,473.3726196,465.0122681,469.9097595,466.8195496,2147835,467.1635437,467.1635437,462.2490845,454.975769,448.1939087,438.3159485,445.3927002,457.84019252857144,11.227709433236257
TataMotors,2014-07-22,469.9097595,483.0191345,467.2384033,481.5350647,478.3683777,4245591,466.8195496,467.1635437,467.1635437,462.2490845,454.975769,448.1939087,438.3159485,463.56196812857144,9.724608168036507
TataMotors,2014-07-23,480.3477783,482.7223206,471.6906433,479.7046814,476.5500488,4745188,478.3683777,466.8195496,467.1635437,467.1635437,462.2490845,454.975769,448.1939087,467.6128452857143,8.01096928033319
TataMotors,2014-07-24,478.0722046,482.0297546,472.0369263,480.1004333,476.9432068,3338881,476.5500488,478.3683777,466.8195496,467.1635437,467.1635437,462.2490845,454.975769,470.7510506857143,6.370183015042661
TataMotors,2014-07-25,480.8424683,480.8424683,451.5566101,456.2067261,453.206604,6343512,476.9432068,476.5500488,478.3683777,466.8195496,467.1635437,467.1635437,462.2490845,469.4592677571428,8.82532953505448
TataMotors,2014-07-28,451.6555481,465.0617371,446.5107117,449.0336609,446.0807495,8392066,453.206604,476.9432068,476.5500488,478.3683777,466.8195496,467.1635437,467.1635437,466.44744001428575,12.550602049957204
TataMotors,2014-07-30,450.1714478,450.6166992,437.3094177,446.5601807,443.6235046,13595305,446.0807495,453.206604,476.9432068,476.5500488,478.3683777,466.8195496,467.1635437,463.08457728571426,15.200674185084853
TataMotors,2014-07-31,448.192688,449.8746338,440.3270569,442.0090027,439.1022644,9472953,443.6235046,446.0807495,453.206604,476.9432068,476.5500488,478.3683777,466.8195496,459.1249651142857,17.50149797117174
TataMotors,2014-08-01,440.0797119,450.9135132,433.3518677,435.330658,432.4678345,8882644,439.1022644,443.6235046,446.0807495,453.206604,476.9432068,476.5500488,478.3683777,452.5677446571429,17.68769954510586
TataMotors,2014-08-04,437.6062317,443.64151,436.4684448,441.8605957,438.9548035,7517951,432.4678345,439.1022644,443.6235046,446.0807495,453.206604,476.9432068,476.5500488,447.19699532857146,14.636568972283698
TataMotors,2014-08-05,444.9277039,453.0406799,439.486084,451.9523621,448.9802246,4030664,438.9548035,432.4678345,439.1022644,443.6235046,446.0807495,453.206604,476.9432068,443.20228358571427,6.9763130670194275
TataMotors,2014-08-06,450.1714478,450.1714478,440.4754639,442.8005066,439.8885498,4859128,448.9802246,438.9548035,432.4678345,439.1022644,443.6235046,446.0807495,453.206604,441.29970441428577,5.440119731838173
TataMotors,2014-08-07,442.8499756,445.5708008,435.5285339,437.3094177,434.4335632,4871343,439.8885498,448.9802246,438.9548035,432.4678345,439.1022644,443.6235046,446.0807495,439.6358206571429,5.514758307522114
TataMotors,2014-08-08,432.8571777,433.2034607,425.8325195,428.3059998,425.4893799,6491179,434.4335632,439.8885498,448.9802246,438.9548035,432.4678345,439.1022644,443.6235046,437.04523141428575,7.29974257118117
TataMotors,2014-08-11,434.9348755,443.690979,432.3624878,441.8111267,438.9057007,8735749,425.4893799,434.4335632,439.8885498,448.9802246,438.9548035,432.4678345,439.1022644,437.01715088571433,7.290883477321338
TataMotors,2014-08-12,475.8955383,476.8849182,463.4292603,468.9698181,465.8857727,14887582,438.9057007,425.4893799,434.4335632,439.8885498,448.9802246,438.9548035,432.4678345,441.79114205714285,12.728616023381075
TataMotors,2014-08-13,471.9874573,474.7577515,461.153656,468.4751282,465.3943481,6299304,465.8857727,438.9057007,425.4893799,434.4335632,439.8885498,448.9802246,438.9548035,445.5682198571429,15.391059620031042
TataMotors,2014-08-14,469.3161011,480.6940613,468.6235352,479.4573364,476.3043213,6417376,465.3943481,465.8857727,438.9057007,425.4893799,434.4335632,439.8885498,448.9802246,449.4716622428572,19.35508725414883
TataMotors,2014-08-18,483.8601074,500.2839661,483.7117004,498.4535828,495.1756592,8656402,476.3043213,465.3943481,465.8857727,438.9057007,425.4893799,434.4335632,439.8885498,457.3698207285714,25.19282092581843
TataMotors,2014-08-19,502.1143188,515.1742554,500.1850281,513.3438721,509.9680176,9965688,495.1756592,476.3043213,465.3943481,465.8857727,438.9057007,425.4893799,434.4335632,468.16045707142854,29.533887127400487
TataMotors,2014-08-20,513.4923096,516.4604492,505.478241,506.8139038,503.4809875,5467442,509.9680176,495.1756592,476.3043213,465.3943481,465.8857727,438.9057007,425.4893799,479.30211529999997,25.137177444752187
TataMotors,2014-08-21,510.5241089,512.6513062,500.778656,507.3085938,503.9724121,5463932,503.4809875,509.9680176,495.1756592,476.3043213,465.3943481,465.8857727,438.9057007,488.5973597857142,18.987752107847122
TataMotors,2014-08-22,509.782074,515.1247559,505.181427,506.1213379,502.7929993,4404241,503.9724121,503.4809875,509.9680176,495.1756592,476.3043213,465.3943481,465.8857727,493.8698207285714,16.604800827693374
TataMotors,2014-08-25,511.5135193,512.5028687,499.9871521,503.0047607,499.6968994,4005516,502.7929993,503.9724121,503.4809875,509.9680176,495.1756592,476.3043213,465.3943481,498.7701852,10.872930944297845
TataMotors,2014-08-26,493.2098389,509.732605,491.0826416,507.2096558,503.874115,4724406,499.6968994,502.7929993,503.9724121,503.4809875,509.9680176,495.1756592,476.3043213,502.70872715714285,4.510617720253711
TataMotors,2014-08-27,513.3933716,518.439209,510.7219849,516.1636353,512.7692261,3905433,503.874115,499.6968994,502.7929993,503.9724121,503.4809875,509.9680176,495.1756592,505.2220938571428,4.515186859573948
TataMotors,2014-08-28,518.142395,526.0080566,517.1035767,519.4780884,516.0618896,5597525,512.7692261,503.874115,499.6968994,502.7929993,503.9724121,503.4809875,509.9680176,506.09264699999994,5.944098115123586
TataMotors,2014-09-01,520.4179688,523.8808594,511.2661438,514.4816895,511.0983582,6321716,516.0618896,512.7692261,503.874115,499.6968994,502.7929993,503.9724121,503.4809875,507.1808428142857,6.081954219595832
TataMotors,2014-09-02,514.4816895,515.2236938,506.6160278,510.7714539,507.4125061,4700852,511.0983582,516.0618896,512.7692261,503.874115,499.6968994,502.7929993,503.9724121,507.6722848142858,5.916221152188069
TataMotors,2014-09-03,520.5169067,524.8702393,515.7678833,517.0540771,513.6538086,7395355,507.4125061,511.0983582,516.0618896,512.7692261,503.874115,499.6968994,502.7929993,509.22382899999997,5.847082042597072
TataMotors,2014-09-04,517.1530151,517.1530151,503.8457642,507.5559692,504.2181702,7887159,513.6538086,507.4125061,511.0983582,516.0618896,512.7692261,503.874115,499.6968994,509.86972482857146,4.769768913799131
TataMotors,2014-09-05,507.5559692,511.1177368,497.8104858,500.630249,497.3379822,10061738,504.2181702,513.6538086,507.4125061,511.0983582,516.0618896,512.7692261,503.874115,508.93599157142853,6.474287663134553
TataMotors,2014-09-08,502.6090088,506.5665588,497.5631409,504.6867371,501.3677979,9265718,497.3379822,504.2181702,513.6538086,507.4125061,511.0983582,516.0618896,512.7692261,507.3072161142857,6.776330208143399
TataMotors,2014-09-09,505.6761169,512.8986206,502.2132568,511.6619263,508.2971191,9134923,501.3677979,497.3379822,504.2181702,513.6538086,507.4125061,511.0983582,516.0618896,506.1979631857143,5.645564810858588
TataMotors,2014-09-10,508.3474731,515.4215698,506.9623108,511.0682678,507.7073669,7315474,508.2971191,501.3677979,497.3379822,504.2181702,513.6538086,507.4125061,511.0983582,505.71353585714286,5.289236737968025
TataMotors,2014-09-11,512.5028687,512.7996826,505.577179,508.8916321,505.5450439,3994427,507.7073669,508.2971191,501.3677979,497.3379822,504.2181702,513.6538086,507.4125061,505.44675554285715,5.236090130407406
TataMotors,2014-09-12,509.534729,513.838562,507.9517212,511.7113953,508.346283,4645545,505.5450439,507.7073669,508.2971191,501.3677979,497.3379822,504.2181702,513.6538086,504.6885376,4.113536952801327
TataMotors,2014-09-15,506.5665588,509.930481,504.7362061,506.9623108,503.6284485,3002542,508.346283,505.5450439,507.7073669,508.2971191,501.3677979,497.3379822,504.2181702,504.60429164285716,4.130778363138998
TataMotors,2014-09-16,504.5877991,505.329834,489.4006958,494.4465637,491.1949768,5795527,503.6284485,508.346283,505.5450439,507.7073669,508.2971191,501.3677979,497.3379822,503.7267194428572,6.110094382581014
